address,name,account_type,entity,labels,tags
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,Huobi 2,eoa,exchange,1,
0x90e9ddd9d8d5ae4e3763d0cf856c97594dea7325,Huobi 20,eoa,exchange,1,
0x18916e1a2933cb349145a280473a5de8eb6630cb,Huobi 21,eoa,exchange,1,
0x6f48a3e70f0251d1e83a989e62aaa2281a6d5380,Huobi 22,eoa,exchange,1,
0xf056f435ba0cc4fcd2f1b17e3766549ffc404b94,Huobi 23,eoa,exchange,1,
0x137ad9c4777e1d36e4b605e745e8f37b2b62e9c5,Huobi 24,eoa,exchange,1,
0x5401dbf7da53e1c9dbf484e3d69505815f2f5e6e,Huobi 25,eoa,exchange,1,
0x034f854b44d28e26386c1bc37ff9b20c6380b00d,Huobi 26,eoa,exchange,1,
0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,Huobi 27,eoa,exchange,1,
0x0c6c34cdd915845376fb5407e0895196c9dd4eec,Huobi 28,eoa,exchange,1,
0x794d28ac31bcb136294761a556b68d2634094153,Huobi 29,eoa,exchange,1,
0xfdb16996831753d5331ff813c29a93c76834a0ad,Huobi 3,eoa,exchange,1,
0xfd54078badd5653571726c3370afb127351a6f26,Huobi 30,eoa,exchange,1,
0xb4cd0386d2db86f30c1a11c2b8c4f4185c1dade9,Huobi 31,eoa,exchange,1,
0x4d77a1144dc74f26838b69391a6d3b1e403d0990,Huobi 32,eoa,exchange,1,
0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,Huobi 33,eoa,exchange,1,
0xcac725bef4f114f728cbcfd744a731c2a463c3fc,Huobi 34,eoa,exchange,1,
0x73f8fc2e74302eb2efda125a326655acf0dc2d1b,Huobi 35,eoa,exchange,1,
0x0a98fb70939162725ae66e626fe4b52cff62c2e5,Huobi 36,eoa,exchange,1,
0xf66852bc122fd40bfecc63cd48217e88bda12109,Huobi 37,eoa,exchange,1,
0xeee28d484628d41a82d01e21d12e2e78d69920da,Huobi 4,eoa,exchange,1,
0x5c985e89dde482efe97ea9f1950ad149eb73829b,Huobi 5,eoa,exchange,1,
0xdc76cd25977e0a5ae17155770273ad58648900d3,Huobi 6,eoa,exchange,1,
0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,Huobi 7,eoa,exchange,1,
0xa8660c8ffd6d578f657b72c0c811284aef0b735e,Huobi 8,eoa,exchange,1,
0x1062a747393198f70f71ec65a582423dba7e5ab3,Huobi 9,eoa,exchange,1,
0x3c11c3025ce387d76c2eddf1493ec55a8cc2a0f7,Idax.global,eoa,exchange,1,
0x51836a753e344257b361519e948ffcaf5fb8d521,Indodax 1,eoa,exchange,1,
0x9cbadd5ce7e14742f70414a6dcbd4e7bb8712719,Indodax 2,eoa,exchange,1,
0xb1a34309af7f29b4195a6b589737f86e14597ddc,IndoEx LTD,eoa,exchange,1,
0x352bdabe484499e4c25c3536cc3eda1edbc5ad29,KickEX,eoa,exchange,1,
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken,eoa,exchange,1,
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Kraken 2,eoa,exchange,1,
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken 3,eoa,exchange,1,
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken 4,eoa,exchange,1,
0xfa52274dd61e1643d2205169732f29114bc240b3,Kraken 5,eoa,exchange,1,
0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,eoa,exchange,1,
0xe8a0e282e6a3e8023465accd47fae39dd5db010b,Kryptono 1,eoa,exchange,1,
0x629a7144235259336ea2694167f3c8b856edd7dc,Kryptono 2,eoa,exchange,1,
0x30b71d015f60e2f959743038ce0aaec9b4c1ea44,Kryptono 3,eoa,exchange,1,
0x2b5634c42055806a59e9107ed44d43c426e58258,KuCoin,eoa,exchange,1,
0x689c56aef474df92d44a1b70850f808488f9769c,KuCoin 2,eoa,exchange,1,
0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,KuCoin 3,eoa,exchange,1,
0x4ad64983349c49defe8d7a4686202d24b25d0ce8,KuCoin 4,eoa,exchange,1,
0x1692e170361cefd1eb7240ec13d048fd9af6d667,KuCoin 5,eoa,exchange,1,
