address,name,account_type,type
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken 1,eoa,Exchange
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Kraken 2,eoa,Exchange
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken 3,eoa,Exchange
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken 4,eoa,Exchange
0xfa52274dd61e1643d2205169732f29114bc240b3,Kraken 5,contract,Exchange
0x29728d0efd284d85187362faa2d4d76c2cfc2612,Kraken BAT Holding,eoa,Exchange
0x43984d578803891dfa9706bdeee6078d80cfc79e,Kraken REP Holding,eoa,Exchange
0xe8a0e282e6a3e8023465accd47fae39dd5db010b,Kryptono 1,eoa,Exchange
0x629a7144235259336ea2694167f3c8b856edd7dc,Kryptono 2,contract,Exchange
0x30b71d015f60e2f959743038ce0aaec9b4c1ea44,Kryptono 3,contract,Exchange
0x2b5634c42055806a59e9107ed44d43c426e58258,KuCoin 1,eoa,Exchange
0x689c56aef474df92d44a1b70850f808488f9769c,KuCoin 2,eoa,Exchange
0xea81ce54a0afa10a027f65503bd52fba83d745b8,Kuna.io,eoa,Exchange
0x964f35fae36d75b1e72770e244f6595b68508cf5,KyberNetwork,contract,Exchange
0x0861fca546225fbf8806986d211c8398f7457734,LAToken 1,eoa,Exchange
0x7891b20c690605f4e370d6944c8a5dbfac5a451c,LAToken 2,eoa,Exchange
0x1b6c1a0e20af81b922cb454c3e52408496ee7201,LAToken 3,eoa,Exchange
0x8271b2e8cbe29396e9563229030c89679b9470db,Liqui.io 1,eoa,Exchange
0x5e575279bf9f4acf0a130c186861454247394c06,Liqui.io 2,eoa,Exchange
0x243bec9256c9a3469da22103891465b47583d9f1,Livecoin.net,eoa,Exchange
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,MXC 1,eoa,Exchange
0x0211f3cedbef3143223d3acf0e589747933e8527,MXC 2,eoa,Exchange
0xe03c23519e18d64f144d2800e30e81b0065c48b5,Mercatox,eoa,Exchange
0xae7006588d03bd15d6954e3084a7e644596bc251,NEXBIT Pro,eoa,Exchange
0x03e3ff995863828554282e80870b489cc31dc8bc,OMGFIN Exchange,eoa,Exchange
0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,OTCBTC,eoa,Exchange
